Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon,Klasifikasi
KURIR PAKET (JABODETA) MENYESUAIKAN DOMISILI,PT Swakarya Insan Mandiri,Bagian Umum,Tangerang,Data Management,-6.1761924,106.6382161,NON-IPTEK
Trading & Investment Analyst Intern,PT Valbury Asia Futures,"Keuangan, Analis",Semarang,"Finance, Data Analysis, Risk Analysis",-7.1287142,110.403619,NON-IPTEK
Assistant Business Manager (Probation Track),PT Valbury Asia Futures,"Keuangan, Analis",Semarang,"Marketing, Management Consulting, Finance, Account Management, Databases, Business Analysis, Business Development",-7.1287142,110.403619,NON-IPTEK
Rider & Driver Shopee Express Area Ngampilan,PT. Trans Dana Profitri,Supir,Yogyakarta,Pengantaran Barang,-7.801349,110.3647351,NON-IPTEK
Rider & Driver Shopee Express Area Wirobrajan,PT. Trans Dana Profitri,Supir,Yogyakarta,Pengantaran Barang,-7.801349,110.3647351,NON-IPTEK
Rider & Driver Shopee Express Area Mantrijeron,PT. Trans Dana Profitri,Supir,Yogyakarta,Pengantaran Barang,-7.801349,110.3647351,NON-IPTEK
Sales Marketing,Surya Prima Ban,Penjualan (Teknis),Jakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-6.1754049,106.827168,IPTEK
SALES PROMOTION GIRL,Make Over Forall,Penjualan dan Pemasaran,Palembang,"Product Marketing, selling skill, Public Speaking, Teamwork",-2.9888243,104.7568507,NON-IPTEK
STAFF ADMIN,Make Over Forall,Operasi Ritel,Palembang,"Data Entry, Microsoft Excel, Microsoft Office, Data Management, Product Management",-2.9888243,104.7568507,NON-IPTEK
Staff Adminitrasi,Mirota Batik Surabaya,Operasi Ritel,Surabaya,"Data Entry, Microsoft Excel, Microsoft Office, Data Management",-7.2462836,112.7377674,NON-IPTEK
Staf Akuntansi,Hungfu Leather Indonesia,Akuntansi & Keuangan,Sukabumi,"Accounting, Microsoft Excel, Microsoft Office",-7.0764509,106.7346608,NON-IPTEK
Pelatih Renang,Yayasan Ashabul Fitrah Indonesia,"Pelatih, Pendidik",Bogor,"komunikasi, Google Apps, renang",-6.5453875,107.001782,NON-IPTEK
ADMIN,Emirizan Surya Kencana,Bagian Umum,Padang,"Microsoft Excel, Microsoft Office",-0.9247587,100.3632561,NON-IPTEK
Operator Warehouse,Toso Industry Indonesia,Operator,Bekasi,"Stock opnam, SIO, forklift",-6.2027897,107.1649161,NON-IPTEK
Operator Press,Toso Industry Indonesia,Operator,Bekasi,"mesin tapping, caliper",-6.2027897,107.1649161,NON-IPTEK
General Affairs Staff,Samyang Foods Indonesia,Bagian Umum,Jakarta,"Microsoft Excel, Microsoft Office",-6.1754049,106.827168,NON-IPTEK
Sales MyRepublik (Sukabumi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,Sukabumi,"Marketing, Sales Presentation, Sales",-7.0764509,106.7346608,NON-IPTEK
System Operation Officer,PT. Datascrip,"TI, Systems Analyst",Jakarta,"UML, Microsoft Dynamics NAV, ERP, SQL Server, SDLC",-6.1754049,106.827168,NON-IPTEK
