Title,Perusahaan,Kategori,Lokasi,Skills,Lat,Lon
KURIR PAKET (JABODETA) MENYESUAIKAN DOMISILI,PT Swakarya Insan Mandiri,Bagian Umum,KOTA TANGERANG,Data Management,-6.1761924,106.6382161
Trading & Investment Analyst Intern,PT Valbury Asia Futures,"Keuangan, Analis",KAB. SEMARANG,"Finance, Data Analysis, Risk Analysis",-7.1287142,110.403619
Assistant Business Manager (Probation Track),PT Valbury Asia Futures,"Keuangan, Analis",KAB. SEMARANG,"Marketing, Management Consulting, Finance, Account Management, Databases, Business Analysis, Business Development",-7.1287142,110.403619
Rider & Driver Shopee Express Area Ngampilan,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang,-7.801349,110.3647351
Rider & Driver Shopee Express Area Wirobrajan,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang,-7.801349,110.3647351
Rider & Driver Shopee Express Area Mantrijeron,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang,-7.801349,110.3647351
Sales Marketing,Surya Prima Ban,Penjualan (Teknis),Jakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-6.1754049,106.827168
SALES PROMOTION GIRL,Make Over Forall,Penjualan dan Pemasaran,KOTA PALEMBANG,"Product Marketing, selling skill, Public Speaking, Teamwork",-2.9888243,104.7568507
Teknisi Lapangan,Sandeq Media Teknologi,"Teknik, Telekomunikasi",KAB. MAMUJU UTARA,"Telecommunications, teknisi, TEKNISI INTERNET",,
STAFF ADMIN,Make Over Forall,Operasi Ritel,KOTA PALEMBANG,"Data Entry, Microsoft Excel, Microsoft Office, Data Management, Product Management",-2.9888243,104.7568507
Staff Adminitrasi,Mirota Batik Surabaya,Operasi Ritel,KOTA SURABAYA,"Data Entry, Microsoft Excel, Microsoft Office, Data Management",-7.2462836,112.7377674
Staf Akuntansi,Hungfu Leather Indonesia,Akuntansi & Keuangan,KAB. SUKABUMI,"Accounting, Microsoft Excel, Microsoft Office",-7.0764509,106.7346608
Pelatih Renang,Yayasan Ashabul Fitrah Indonesia,"Pelatih, Pendidik",KAB. BOGOR,"komunikasi, Google Apps, renang",-6.5453875,107.001782
ADMIN,Emirizan Surya Kencana,Bagian Umum,KOTA PADANG,"Microsoft Excel, Microsoft Office",-0.9247587,100.3632561
Operator Warehouse,Toso Industry Indonesia,Operator,KAB. BEKASI,"Stock opnam, SIO, forklift",-6.2027897,107.1649161
Operator Press,Toso Industry Indonesia,Operator,KAB. BEKASI,"mesin tapping, caliper",-6.2027897,107.1649161
General Affairs Staff,Samyang Foods Indonesia,Bagian Umum,Jakarta,"Microsoft Excel, Microsoft Office",-6.1754049,106.827168
Sales MyRepublik (Sukabumi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KAB. SUKABUMI,"Marketing, Sales Presentation, Sales",-7.0764509,106.7346608
Mitra Kurir Motor - Bangkalan,PT. Tri Adi Bersama,Logistik,KAB. BANGKALAN,MAMPU MEMBACA MAPS,,
System Operation Officer,PT. Datascrip,"TI, Systems Analyst",Jakarta,"UML, Microsoft Dynamics NAV, ERP, SQL Server, SDLC",-6.1754049,106.827168
Marketing Staff,PT. Bing Kreatif Mandiri,Pemasaran (Non-Teknis),Jakarta,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-6.1754049,106.827168
Sales Admin,Sagara Prima Perkasa,Administrasi & Customer Relationship,KOTA TANGERANG SELATAN,"Microsoft Excel, growth mindset, Microsoft Office, Microsoft Word, Teamwork, Microsoft PowerPoint, Sales & Marketing, Digital Marketing",-6.3227016,106.7085737
Staff of Quality Management System (QMS) ISO,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Databases",-6.1057256,105.9884196
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales",-6.1754049,106.827168
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,Jakarta,"Sales & Marketing, gadai, Sales",-6.1754049,106.827168
Plant Inspector,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Windows, Microsoft Office, Risk Analysis",-6.1057256,105.9884196
Coordinator,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Data Management, Risk Analysis",-6.1057256,105.9884196
Staff Audio Visual,Citra Bahasa Global,Logistik,KAB. BADUNG,"audio visual, Event Planning, broadcasting, Hybrid, Event Management",-8.6504958,115.2696404
Finance & Accounting Staff,Kekho Asanka Gemilang,Bagian Umum,Jakarta,"Akuntansi, Microsoft Excel, Microsoft Office, Financial Management",-6.1754049,106.827168
Marketing & Sales,Kekho Asanka Gemilang,Konsultan,Jakarta,"b2b, Negotiation, Microsoft Office, Communication Skills, Sales & Marketing, ISO, Design Thinking, Digital Marketing",-6.1754049,106.827168
Administrasi,Citra Warna Abadi,Administrasi & Customer Relationship,KOTA SAMARINDA,"Microsoft Excel, Microsoft Office",-0.5017804,117.1393089
Account Assistant,Citra Bahasa Global,Layanan Pelanggan,KAB. BADUNG,"Event Planning, Microsoft Excel, System Administration, Microsoft Office, English Language, Event Management, Quotation",-8.6504958,115.2696404
Staff Lapangan EO (Blackman),Citra Bahasa Global,Logistik,KAB. BADUNG,"cleaning, office boy, Visual, Audio, Event Management, Logistics",-8.6504958,115.2696404
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Ambarketawang - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi,,
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Sariharjo - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi,,
Tenaga Ahli Elektrikal,Solusi Ijin Semarang,Maintenance,KAB. SEMARANG,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations",-7.1287142,110.403619
Koordinator Olahraga dan Kesehatan (PHBS),Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), Training, Google Apps",-6.5453875,107.001782
