Title,Perusahaan,Kategori,Lokasi,Skills
Staff Processing,Cbr Elektronik Batam,Manufaktur dan Produksi,KOTA BATAM,"Teamwork, Electronics, Quality Control"
KURIR PAKET (JABODETA) MENYESUAIKAN DOMISILI,PT Swakarya Insan Mandiri,Bagian Umum,KOTA TANGERANG,Data Management
Trading & Investment Analyst Intern,PT Valbury Asia Futures,"Keuangan, Analis",KAB. SEMARANG,"Finance, Data Analysis, Risk Analysis"
Assistant Business Manager (Probation Track),PT Valbury Asia Futures,"Keuangan, Analis",KAB. SEMARANG,"Marketing, Management Consulting, Finance, Account Management, Databases, Business Analysis, Business Development"
Rider & Driver Shopee Express Area Ngampilan,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang
Rider & Driver Shopee Express Area Wirobrajan,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang
Rider & Driver Shopee Express Area Mantrijeron,PT. Trans Dana Profitri,Supir,KOTA YOGYAKARTA,Pengantaran Barang
Sales Marketing,Surya Prima Ban,Penjualan (Teknis),KOTA ADM. JAKARTA BARAT,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
SALES PROMOTION GIRL,Make Over Forall,Penjualan dan Pemasaran,KOTA PALEMBANG,"Product Marketing, selling skill, Public Speaking, Teamwork"
Teknisi Lapangan,Sandeq Media Teknologi,"Teknik, Telekomunikasi",KAB. MAMUJU UTARA,"Telecommunications, teknisi, TEKNISI INTERNET"
STAFF ADMIN,Make Over Forall,Operasi Ritel,KOTA PALEMBANG,"Data Entry, Microsoft Excel, Microsoft Office, Data Management, Product Management"
Staff Adminitrasi,Mirota Batik Surabaya,Operasi Ritel,KOTA SURABAYA,"Data Entry, Microsoft Excel, Microsoft Office, Data Management"
Staf Akuntansi,Hungfu Leather Indonesia,Akuntansi & Keuangan,KAB. SUKABUMI,"Accounting, Microsoft Excel, Microsoft Office"
Pelatih Renang,Yayasan Ashabul Fitrah Indonesia,"Pelatih, Pendidik",KAB. BOGOR,"komunikasi, Google Apps, renang"
ADMIN,Emirizan Surya Kencana,Bagian Umum,KOTA PADANG,"Microsoft Excel, Microsoft Office"
Operator Warehouse,Toso Industry Indonesia,Operator,KAB. BEKASI,"Stock opnam, SIO, forklift"
Operator Press,Toso Industry Indonesia,Operator,KAB. BEKASI,"mesin tapping, caliper"
General Affairs Staff,Samyang Foods Indonesia,Bagian Umum,KOTA ADM. JAKARTA SELATAN,"Microsoft Excel, Microsoft Office"
Sales MyRepublik (Sukabumi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KAB. SUKABUMI,"Marketing, Sales Presentation, Sales"
Mitra Kurir Motor - Bangkalan,PT. Tri Adi Bersama,Logistik,KAB. BANGKALAN,MAMPU MEMBACA MAPS
System Operation Officer,PT. Datascrip,"TI, Systems Analyst",KOTA ADM. JAKARTA PUSAT,"UML, Microsoft Dynamics NAV, ERP, SQL Server, SDLC"
Marketing Staff,PT. Bing Kreatif Mandiri,Pemasaran (Non-Teknis),KOTA ADM. JAKARTA UTARA,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Sales Admin,Sagara Prima Perkasa,Administrasi & Customer Relationship,KOTA TANGERANG SELATAN,"Microsoft Excel, growth mindset, Microsoft Office, Microsoft Word, Teamwork, Microsoft PowerPoint, Sales & Marketing, Digital Marketing"
Staff of Quality Management System (QMS) ISO,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Databases"
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,KOTA ADM. JAKARTA SELATAN,"Sales & Marketing, gadai, Sales"
Pramuniaga Gadai,Solusi Gadai Pintar,Penjualan dan Pemasaran,KOTA ADM. JAKARTA BARAT,"Sales & Marketing, gadai, Sales"
Plant Inspector,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Windows, Microsoft Office, Risk Analysis"
Coordinator,PT. Kostec Indonesia Mandiri,"Teknik, Lainnya",KAB. SERANG,"Microsoft Excel, Microsoft Office, Data Management, Risk Analysis"
Staff Audio Visual,Citra Bahasa Global,Logistik,KAB. BADUNG,"audio visual, Event Planning, broadcasting, Hybrid, Event Management"
Finance & Accounting Staff,Kekho Asanka Gemilang,Bagian Umum,KOTA ADM. JAKARTA PUSAT,"Akuntansi, Microsoft Excel, Microsoft Office, Financial Management"
Marketing & Sales,Kekho Asanka Gemilang,Konsultan,KOTA ADM. JAKARTA PUSAT,"b2b, Negotiation, Microsoft Office, Communication Skills, Sales & Marketing, ISO, Design Thinking, Digital Marketing"
Administrasi,Citra Warna Abadi,Administrasi & Customer Relationship,KOTA SAMARINDA,"Microsoft Excel, Microsoft Office"
Account Assistant,Citra Bahasa Global,Layanan Pelanggan,KAB. BADUNG,"Event Planning, Microsoft Excel, System Administration, Microsoft Office, English Language, Event Management, Quotation"
Staff Lapangan EO (Blackman),Citra Bahasa Global,Logistik,KAB. BADUNG,"cleaning, office boy, Visual, Audio, Event Management, Logistics"
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Ambarketawang - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi
Tenaga Teknis Kefarmasian/Asisten Tenaga Teknis Kefarmasian (Sariharjo - Yogyakarta),PT K-24 Indonesia,Asisten Teknis Kesehatan,KAB. SLEMAN,farmasi
Tenaga Ahli Elektrikal,Solusi Ijin Semarang,Maintenance,KAB. SEMARANG,"Coaching, office administration, Project Manager, autodesk revit, Debugging, F&B Operations"
Koordinator Olahraga dan Kesehatan (PHBS),Yayasan Ashabul Fitrah Indonesia,Guru / Tutor,KAB. BOGOR,"Artificial Intelligence (AI), Training, Google Apps"
HUMAN RESOURCES DEVELOPMENT,Shimano Batam,Manufaktur dan Produksi,KOTA BATAM,"Microsoft Excel, Microsoft Office, Operations, Interview"
Sales Officer CIMB Niaga Auto Finance,Tumbuh Akselera Indonesia,Penjualan dan Pemasaran,KOTA ADM. JAKARTA UTARA,"Sales & Marketing, Sales"
SPV Accounting,Vepo Indah Pratama,Akuntansi & Keuangan,KAB. GRESIK,"Tax, Account Management, Microsoft Office, Databases, Risk Analysis"
Crew Dcrepes Bali,PT. Jaddi Globalindo,Operasional,KOTA DENPASAR,"cook, Communication Skills, Customer Service"
Sales MyRepublik (Bekasi),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BEKASI,"Marketing, Sales Presentation, Sales"
Sales MyRepublik (Bogor),JO : Headhunter - Business Process Outsourcing - Training,Penjualan dan Pemasaran,KOTA BOGOR,"Marketing, Sales Presentation, Sales"
LOWONGAN MARKETING,PT Tiga Mera Berjaya,Pemasaran (Teknis),KOTA DEPOK,"Microsoft Excel, Microsoft Office, Communications"
Marketing Staff,Kurnia Perkasa Propertindo,Penjualan dan Pemasaran,KAB. CIANJUR,"Content Marketing, Sales & Marketing, Community Management, Digital Marketing"
