Title,Perusahaan,Kategori,Lokasi,Skills
Sales Executive,PT Chandrakarya Dharmajaya,Sales Executive,Jakarta Pusat,"Problem Solving, presentasi, Sales Marketing, Negosiasi dan komunikasi, Berorientasi pada detail dan hasil, B2B, Product Knowladge"
Staff Programmer,Ryucargo,Web Programmer,Jakarta Utara,"IT, Python"
Backend Developer,PT Digital Voucher Market Bersama,Back End Developer,Tangerang,"Java Script, Laravel Backend, Menguasai Framework Express JS dan Nest JS - Menguasai RESTful API - Menguasai PostgreSQL - Paham keamanan API Contoh autentikasi JWT, otorisasi, enkripsi data - Paham Microservices Menjadi Nilai Tambah - Terbiasa Teamwork dengan github"
IT Officer,KOPERASI NUSA RAYA CIPTA,Help Desk & IT Support,Jakarta Utara,"Java, Ms Office Word, Excel, PPT, PHP and My SQL, SQL DB MYSQL, MSSQL, POSTGREE ORACLE, Java Android, SQL Database, Server Administration, Programming Language, QA Analyst, Data Analysis, Data Science, System Analysis and Design, Business analyst"
Client Support ERP,PT LARONA PRIMA SOLUSI,Help Desk & IT Support,Tabanan,"Akuntansi, Perpajakan"
Front End Developer (Web & Mobile),PT LARONA PRIMA SOLUSI,Front End Developer,Tabanan,"MySQL, Front-End Developer, JS, HTML dan CSS"
IT Support,CV GANGSAR GENSET,IT Support,Surabaya,"IT Hardware dan Software, IT Bussines Development Â Analyst, IT Hardware Support, DHCP Static IP Addresing"
Sales Executive,PT KATALOG INDUK NUSANTARA,Sales Executive,Tangerang,"Communication, Sales"
Full-Stack Software Developer (Mobile & Web),Company Confidential,Full Stack Developer,Jakarta Selatan,"Software, Keahlian dalam software Developer Web Mobile"
Programmer Full Stack,PT.  LONGMENINDO	NUSANTARA,Full Stack Developer,Jakarta Timur,"Programmer, Java scrip"
Product Support Engineer,PT Chandrakarya Dharmajaya,Product Consultant,Jakarta Pusat,"IT Hardware dan Software, Teknisi komputer, Instalasi, Trobleshooting, Audio VideO"
IT Infrastruktur,PT SUMBER MAHARDHIKA GRAHA (USTP GROUP),IT Support,Lamandau,"IT Hardware dan Software, IT Infrastruktur, Jaringan Design Konfigurasi router MikroTik, Jaringan Komputer Installasi Komputer, Service, Jaringan LAN, WAN"
IT Support,PT Shunda Sucai Indonesia,IT Support,Jakarta Barat,"IT Support, Instalasi jaringan LAN WLAN., CCTV installing, cabling, configuration, voice record"
IOS Developer,PT Solusi Inovasi Bangsa (Ide Asia),iOS Developer,Jakarta Selatan,iOS Development Swift UI and UI Kit
Business Analyst,PT Solusi Inovasi Bangsa (Ide Asia),Business Analyst,Jakarta Selatan,"Banking and Finance, Analyst, Business Analysis, Insurance"
Staff Commercial,PT Jinde Grup Indonesia,Sales Engineer,Gresik,"Negosiasi, Market Analist, Penjualan dan pemasaran"
Backend Developer,PT Solusi Inovasi Bangsa (Ide Asia),Back End Developer,Jakarta Selatan,"Node.JS, Backend Golang, Â Java Spring Spring Boot, Quarkus, ZK"
