Title,Perusahaan,Kategori,Lokasi,Skills
Digital Marketing Admin,PT. CENDAWAN MEDICATAMA INDONESIA,Digital Marketing,Bekasi,"Content Creator, Canva, Digital Marketing"
Social Media Specialist,Serba Classic Interior,Social Media Specialist,Jakarta Selatan,"Social Media, Social media facebook, instagram, Social Media Advertising, Social Media and Internet"
Creative Digital Content Specialist,CV. Putih Digital Agency,Content Creator,Jakarta Barat,"marketing, Copywriting, Content creation"
Social Media Designer & Content Creator,E3A CLINIC,Social Media Specialist,Jakarta Timur,"mahir menggunakan aplikasi editing visual dan video, copywriting yang baik"
Staff Marketing,PT. Lucky Trading Indonesia,Staff Marketing,Sleman,"Microsoft Excel, Komunikasi dengan baik dan jelas"
KOL & Affiliate Marketing Specialist,PT DUNIA INDAH MAKMUR,KOL Specialist,Jakarta Pusat,"Media analysis and Public Relations through strategical communications, KOL Influencer Marketing, Affiliate Marketing Terampil dalam mengelola program pemasaran afiliasi, termasuk melacak kinerja kampanye melalui link tracking, serta mengoptimalkan konversi dan ROI., Shopee Ads Developed and managed successful advertising campaigns on Shopee, achieving significant revenue growth., Ahli konten Tiktok dan profesional editing - Menguasai konten media sosial Tiktok, IG"
Freelance Video Creator Konten,Sekolah Fitrah Tunas Bangsa,Content Creator,Jakarta Barat,"Film directing, Film Maker, Film dan TV Production, Film making, Film Editing"
Content Creator,PT. Loker Asli Indonesia,Content Creator,Medan,"Video Editing, Copy Writing, Canva, Capcut, Talent, Storytelling, Adobe Phothoshop, VN Editing, Caption Social Media"
Sosial Media Creative,CV. SICMA INTI UTAMA,Social Media Specialist,Jakarta Timur,"adobe illustrator, CorelDraw, Canva, Tiktok Ads Tiktok Shop, Facebook, Instagram"
AI Creative Visual Specialist,ANNA MEDIA PTE. LTD,Content Marketing,Remote,AI Content Creator
SEO Strategist,Tokoweb Digital Agency,SEO Specialist,Bandung Kota,"SEO Recomendation, SEO Analytic, SEO Onpage Offpage, Google Webmaster, Google Analitycs, Google Keyword Planner, Google Ads"
Content Creator,Newstore id,Content Creator,Tangerang,"Editing Video dan Gambar, Public communication"
Marketing,GIHON FILTER AIR,Marketing Executive,Kabupaten Tangerang,Komunikasi yang baik 2. Pengenalan Produk 3. Kemampuan Persuasi 4. Kemampuan Negosiasi 5. Kemampuan Presentasi 6. Kemampuan memahami kebutuhan pelanggan
Tim Kreatif (Content Creator),FOSS GROUP,Content Creator,Jakarta Utara,"Editing, Canva, Capcut, Content Creation End-to-end produksi konten konsep, scripting, shooting, editing untuk platform seperti TikTok, Instagram, dan YouTube."
Creative Digital Marketing Specialist,"Kampoeng Group (Kampoeng Steak, GYMale, Kantin, Kanak-kanak)",Digital Marketing,Surabaya,"Video Editing, Creative design, Creative Concept Design"
Admin Social Media,PT. Didi Max Berjangka,Admin Social Media,Bandung Kota,Terampil mengoperasikan komputer dan Ms.office.
Digital Marketing,Exigo Interior,Digital Marketing,Surabaya,"Digital Marketing, Komunikasi dan interaksi, Market Analysis, Awareness if Digital Marketing - Mengenal konsep dan startegt digital marketing - Mengenal dan memahami aktivitas dan media yang digunakan untuk kegiatan digital marketing - Familiar dengan marketplace dan ecommerce"
Staf Pemasaran Online,Els Coorp,Content Creator,Depok,bisa mengopersikan Microsotf office excel word powerpoint
Content Creator,PT. Reksa Engineering,Content Creator,Sidoarjo,Content Creator
Sosial Media Spesialist,PT. MANDIRI SEDARI KALA,Social Media Specialist,Kabupaten Tangerang,"Adobe Photoshop, Illustration, Premiere, Canva, Digital Marketing, Conten Creator, Script Writer"
Client Relations,GREAT MEDIA NUSANTARA,Public Relation / Humas,Cirebon,"customer handling, complaint handling, customer relation management"
Content Creator,UD Mandiri,Content Creator,Surabaya,"Memiliki kemampuan berkembang yang besar, Capcut, Adobe Illustrator, Photshop, Indesign, Premiere Pro, CapCut, Memiliki kemampuan berkomnikasi yang baik"
Content Creator,Fastuner Indonesia,Content Creator,Surabaya,"Inggris, Public Speaking., Makeup, Social media active, Dance, Copywritting, Storytelling, Mandarin Basic, Editing photo dan video basic, Memahami trend media sosial"
Content Creator,SALUT WIBAWA SAKTI,Content Creator,Cikarang,Conten Creator dan Editing Video dengan menggunakan Capcut dan VN.
Bisnis Development Tiktok Specialist,PT. DAFANYANG ECOMMERCE INDONESIA,Digital Marketing,Jakarta Utara,"Tiktok Ads Tiktok Shop, TikTok Ads Manager"
Social Media Specialist,PT. SUKSES KOMPUTINDO ABADI,Social Media Specialist,Bogor,"Content writing, Editing, Instagram ads, Proofreading"
Brand Manager,MedioHome,Manager Marketing,Jakarta Barat,"Memiliki portofolio yang bagus dibidang penjualan dan branding kosmetik, memiliki skill komunikasi dan branding"
